TRIP_CODE,STARTPORT,ENDPORT,REGION,STARTLATITUDE,STARTLONGITUDE,STARTSAMPLEDATEUTC,ENDLATITUDE,ENDLONGITUDE,ENDSAMPLEDATEUTC,MILES,VESSEL_NAME,ACKNOWLEDGEMENTS
HOFR20110812,Hobart,Fremantle,Great Australian Bight,-44.0968,115.606,2011-08-12 09:56:00,-34.6024,147.4371,2011-08-21 06:29:00,1454.81,Southern Surveyor,CSIRO
HOFR20120730,Hobart,Fremantle,Great Australian Bight,-43.70106,114.79906,2012-07-30 10:49:24,-33.31349,147.47665,2012-08-08 09:40:09,1880,Southern Surveyor,CSIRO
HOFR20130617,Hobart,Fremantle,Great Australian Bight,-43.82522,119.8786,2013-06-17 11:33:17,-34.53485,147.50157,2013-06-26 06:46:55,1645,Southern Surveyor,CSIRO
HOSO20120712,Hobart,Southern Ocean Time Series Mooring,Southern Ocean,-46.7352,141.9922,2012-07-12 09:12:00,-43.4443,147.4264,2012-07-14 19:59:00,421.09,Southern Surveyor,CSIRO; SOCPR
HOSO20130429,Hobart,Southern Ocean Time Series Mooring,Southern Ocean,-46.74976,142.16526,2013-04-29 04:21:29,-43.68555,147.05206,2013-04-30 20:27:13,285,Southern Surveyor,CSIRO
HOSO20180312,Hobart,Southern Ocean Time Series Mooring,Southern Ocean,-46.94704,142.06027,2018-03-12 08:09:53,-43.6088,147.37953,2018-03-13 19:03:40,315,RV Investigator,MNF - IN2018_V02
HOSO20190314,Hobart,Southern Ocean Time Series Mooring,Southern Ocean,-46.54892,142.87326,2019-03-14 11:38:58,-43.80771,146.90995,2019-03-15 14:29:03,245,RV Investigator,CSIRO; MNF - IN2019_V02
HOSO20200827,Hobart,Southern Ocean Time Series Mooring,Southern Ocean,-46.78658,142.02471,2020-08-27 05:52:25,-43.41558,147.45633,2020-08-28 21:59:49,315,RV Investigator,MNF - IN2020_V09
HOSO20210415,Hobart,Southern Ocean Time Series Mooring,Southern Ocean,-46.86881,142.04297,2021-04-15 06:33:42,-44.01035,146.56418,2021-04-16 16:43:43,265,RV Investigator,CSIRO; MNF - IN2021_V02
HOSY20100917,Hobart,Sydney,Southern East Australian Currect,-43.1296,148.24544,2010-09-16 17:57:42,-36.40212,150.36204,2010-09-18 10:39:39,420,Southern Surveyor,CSIRO
HOSY20150511,Hobart,Sydney,Southern East Australian Currect,-40.54468,148.99766,2015-05-11 00:24:33,-33.79203,151.42133,2015-05-13 02:06:27,430,RV Investigator,CSIRO; MNF - IN2015_T01
HOSY20160827,Hobart,Sydney,Southern East Australian Currect,-39.90551,148.78624,2016-08-27 01:12:50,-33.9599,151.74027,2016-08-28 20:29:26,415,RV Investigator,CSIRO
IIOE20190517,Iioe Start,Iioe End,Western Australia,-39.33918,109.9053,2019-05-17 15:23:23,-11.55774,110.0176,2019-06-06 00:01:47,1570,RV Investigator,MNF - IN2019_V03
MEAB20170701,Melbourne,Great Australian Bight,Great Australian Bight,-38.82679,134.22457,2017-07-01 03:31:15,-37.81891,142.59038,2017-07-02 01:29:48,405,Salome,Wallenius Wilhelmsen
MEAB20171030,Melbourne,Great Australian Bight,Great Australian Bight,-38.70042,132.40444,2017-10-30 21:59:02,-37.53031,141.58209,2017-11-01 00:30:58,445,Salome,Wallenius Wilhelmsen
MEAB20171205,Melbourne,Great Australian Bight,Great Australian Bight,-38.9739,135.10726,2017-12-05 02:37:47,-37.91105,143.8102,2017-12-06 00:11:33,420,Tonsberg,Wallenius Wilhelmsen
MEAB20180311,Melbourne,Great Australian Bight,Great Australian Bight,-38.42214,129.98344,2018-03-11 22:44:12,-37.22999,139.33395,2018-03-12 23:22:22,455,Salome,Wallenius Wilhelmsen
MEAB20180407,Melbourne,Great Australian Bight,Great Australian Bight,-38.56475,133.11153,2018-04-07 04:20:25,-37.65109,140.09229,2018-04-07 23:06:51,340,Tonsberg,Wallenius Wilhelmsen
MEAB20191211,Melbourne,Great Australian Bight,Great Australian Bight,-38.84626,131.77651,2019-12-11 22:50:02,-38.07592,140.3484,2019-12-12 23:49:23,420,Tonsberg,Wallenius Wilhelmsen
MEAB20200805,Melbourne,Great Australian Bight,Great Australian Bight,-38.95255,135.25713,2020-08-05 06:00:02,-38.48835,144.31755,2020-08-06 05:15:45,440,Salome,Wallenius Wilhelmsen
